Zone,District,Fiscal Month Number,Fiscal Year,Month Name,Diversion Rate-Total (Total Recycling / Total Waste),Capture Rate-Paper (Total Paper / Max Paper),Capture Rate-MGP (Total MGP / Max MGP),capture_rate
Brooklyn South,BKS10,9,2007,March,81.64639374,66.1100812,62.54556019,956.9170522
Brooklyn South,BKS10,2,2007,August,77.63105593,65.8706608,63.97771111,785.3209382
Brooklyn South,BKS10,4,2007,October,80.74593326,69.86987675,72.48028753,"1,008.70"
Brooklyn South,BKS10,5,2007,November,78.05287679,70.76725243,68.48048828,794.4167033
Brooklyn South,BKS10,6,2007,December,82.33446052,72.18881479,60.42010556,988.1552689
Brooklyn South,BKS10,9,2008,March,81.76572552,64.93516635,67.50346918,959.8447075
Brooklyn South,BKS10,2,2008,August,77.3405691,67.33484136,60.75347069,773.7217672
Brooklyn South,BKS10,12,2008,June,80.81464444,68.05038266,63.39898776,"1,005.28"
Brooklyn South,BKS10,7,2008,January,78.9344581,71.02409949,67.41505461,775.6440367
Brooklyn South,BKS10,11,2008,May,80.67137493,65.59132187,59.05176752,"1,009.32"
Brooklyn South,BKS10,3,2008,September,80.19857121,68.53500852,70.39090434,980.6215232
Brooklyn South,BKS10,1,2008,July,80.26582982,67.5728499,64.2121238,915.835712
Brooklyn South,BKS10,10,2008,April,76.9157033,69.86219063,64.20498916,790.4152217
Brooklyn South,BKS10,8,2008,February,79.59706016,68.9158379,67.58229994,825.080826
Brooklyn South,BKS10,4,2008,October,77.16496223,70.16501381,69.8655973,815.1584969
Brooklyn South,BKS10,6,2008,December,81.83942867,69.82636587,55.94296102,969.5555719
Brooklyn South,BKS10,5,2008,November,81.97095874,70.35671708,68.2636182,"1,070.76"
Brooklyn South,BKS10,2,2009,August,81.46077588,64.03505668,57.696526,"1,010.13"
Brooklyn South,BKS10,3,2009,September,80.359876,65.81105766,71.38662718,996.6164932
Brooklyn South,BKS10,12,2009,June,80.68057084,65.26469067,62.93036962,"1,004.60"
Brooklyn South,BKS10,1,2009,July,76.76630558,63.92619918,59.26130944,757.7379172
Brooklyn South,BKS10,10,2009,April,77.13803295,64.11121969,63.78944365,812.9752753
Brooklyn South,BKS10,11,2009,May,80.44900308,59.6189453,60.58619807,"1,007.93"
Brooklyn South,BKS10,8,2009,February,80.29102069,62.02813532,63.39940142,885.6270363
Brooklyn South,BKS10,7,2009,January,83.11958642,65.31701461,66.07398626,"1,038.10"
Brooklyn South,BKS10,9,2009,March,82.34608475,58.6928999,61.85324728,"1,026.55"
Brooklyn South,BKS10,4,2009,October,77.70587673,65.73987514,70.04436143,850.7378477
Brooklyn South,BKS10,6,2009,December,79.13312013,70.47743958,65.42308349,801.2489451
Brooklyn South,BKS10,5,2009,November,82.46285812,63.92582804,67.46429095,"1,157.47"
Brooklyn South,BKS10,3,2010,September,76.76106789,61.2649798,72.59385818,813.0912014
Brooklyn South,BKS10,12,2010,June,77.65230603,60.59827337,60.83127333,848.7028721
Brooklyn South,BKS10,10,2010,April,80.61412141,61.39073715,62.73983497,"1,010.63"
Brooklyn South,BKS10,2,2010,August,81.46505422,60.98606161,61.01045013,"1,012.69"
Brooklyn South,BKS10,9,2010,March,76.81886313,58.45021244,63.19735293,728.1966379
Brooklyn South,BKS10,1,2010,July,76.87438164,59.99978533,57.18708897,772.9534542
Brooklyn South,BKS10,11,2010,May,80.81668004,61.48980835,61.92635262,"1,024.91"
Brooklyn South,BKS10,7,2010,January,83.02371512,65.7676517,68.62809787,"1,032.83"
Brooklyn South,BKS10,8,2010,February,81.8527788,60.54571121,67.29666827,978.4068317
Brooklyn South,BKS10,4,2010,October,81.38410358,62.09961377,73.14480297,"1,072.92"
Brooklyn South,BKS10,6,2010,December,79.34840804,66.42060657,65.05623232,822.2305622
Brooklyn South,BKS10,5,2010,November,82.42645401,59.8146934,66.88211348,"1,168.20"
Brooklyn South,BKS10,3,2011,September,76.96566702,61.2762202,70.87464423,824.4350752
Brooklyn South,BKS10,12,2011,June,77.56082201,60.34440986,57.32358266,849.3963258
Brooklyn South,BKS10,9,2011,March,78.27952886,60.68444079,60.50817439,790.3512029
Brooklyn South,BKS10,8,2011,February,78.73570515,59.56084462,62.70613118,811.6942126
Brooklyn South,BKS10,10,2011,April,81.03676016,66.57886622,59.83311145,"1,029.54"
Brooklyn South,BKS10,2,2011,August,81.66230737,59.54737429,56.68587602,"1,037.58"
Brooklyn South,BKS10,11,2011,May,80.56128848,61.4274705,57.67282157,"1,015.10"
Brooklyn South,BKS10,7,2011,January,81.75774425,56.44816841,62.26588524,992.0665428
Brooklyn South,BKS10,1,2011,July,81.32089357,58.56593234,58.896786,"1,013.10"
Brooklyn South,BKS10,4,2011,October,81.12267788,60.01870202,69.76346338,"1,065.51"
Brooklyn South,BKS10,6,2011,December,82.88861372,63.57257361,61.4754956,"1,051.71"
Brooklyn South,BKS10,5,2011,November,82.39059505,58.64991157,65.56899048,"1,171.00"
Brooklyn South,BKS10,1,2012,July,81.57468878,58.37483955,55.45439738,"1,036.83"
Brooklyn South,BKS10,10,2012,April,81.47654149,63.57253575,58.62926965,"1,069.91"
Brooklyn South,BKS10,3,2012,September,80.28814697,60.94279685,63.65335477,"1,015.91"
Brooklyn South,BKS10,9,2012,March,82.37121826,55.24612861,57.16769029,"1,046.54"
Brooklyn South,BKS10,12,2012,June,81.36671664,63.61254008,57.43558078,"1,063.77"
Brooklyn South,BKS10,11,2012,May,77.30707572,59.80171214,53.67632298,843.0167822
Brooklyn South,BKS10,7,2012,January,83.09112421,59.66306177,65.73278315,"1,060.39"
Brooklyn South,BKS10,2,2012,August,77.0014694,58.50983096,51.75227717,788.7530791
Brooklyn South,BKS10,8,2012,February,76.81701517,57.32841171,61.30557038,732.7669341
Brooklyn South,BKS10,4,2012,October,81.73280088,59.87731878,66.12881276,"1,115.34"
Brooklyn South,BKS10,5,2012,November,78.83884241,60.70340149,62.99699389,930.6745258
Brooklyn South,BKS10,6,2012,December,83.05065107,63.39759715,55.33258387,"1,075.34"
Brooklyn South,BKS10,11,2013,May,77.48108531,57.53254445,59.60097283,848.542269
Brooklyn South,BKS10,7,2013,January,79.76248261,62.61452837,63.79511784,842.1063472
Brooklyn South,BKS10,9,2013,March,82.72275045,57.65653765,62.1055744,"1,056.44"
Brooklyn South,BKS10,3,2013,September,80.9709356,59.95109847,67.77284834,"1,057.44"
Brooklyn South,BKS10,1,2013,July,81.34898813,58.58332832,54.62236136,"1,022.06"
Brooklyn South,BKS10,2,2013,August,78.16221908,58.79983162,54.1744767,838.5526197
Brooklyn South,BKS10,8,2013,February,80.28865062,60.36658199,59.21582934,896.0018547
Brooklyn South,BKS10,10,2013,April,81.42634227,61.34819925,60.33575182,"1,069.57"
Brooklyn South,BKS10,12,2013,June,81.09899088,61.48138599,63.65516444,"1,040.79"
Brooklyn South,BKS10,4,2013,October,77.09505814,47.77210988,55.11904142,878.1236113
Brooklyn South,BKS10,6,2013,December,82.76598177,62.45903858,57.3708944,"1,053.25"
Brooklyn South,BKS10,5,2013,November,82.87502875,68.54765657,79.94423823,"1,155.91"
Brooklyn South,BKS10,2,2014,August,81.65200425,57.90299147,53.564611,"1,045.93"
Brooklyn South,BKS10,10,2014,April,77.03623822,61.14938197,65.05050652,809.9233571
Brooklyn South,BKS10,12,2014,June,81.28759634,62.27587788,64.69747173,"1,020.28"
Brooklyn South,BKS10,11,2014,May,80.77138407,56.44518284,62.05584692,"1,006.73"
Brooklyn South,BKS10,8,2014,February,80.54958983,55.87334376,68.98096179,908.0859661
Brooklyn South,BKS10,3,2014,September,80.82973353,58.81773111,66.23127631,"1,052.52"
Brooklyn South,BKS10,7,2014,January,79.8494166,58.87188282,69.31888864,847.2944967
Brooklyn South,BKS10,9,2014,March,82.16101884,52.56329937,63.40982527,"1,028.96"
Brooklyn South,BKS10,1,2014,July,76.57502273,56.67263449,55.19730959,768.7395478
Brooklyn South,BKS10,4,2014,October,77.73712929,56.21129024,68.58095018,875.1970874
Brooklyn South,BKS10,5,2014,November,82.49020808,55.89131854,67.63590654,"1,184.11"
Brooklyn South,BKS10,6,2014,December,81.99812481,60.26206424,62.06831606,997.5488475
Brooklyn South,BKS10,7,2015,January,83.58157128,48.70865659,59.18625417,"1,111.03"
Brooklyn South,BKS10,9,2015,March,82.18072661,55.18442092,66.82146182,"1,001.40"
Brooklyn South,BKS10,11,2015,May,80.74234383,52.80897223,64.09134379,"1,008.49"
Brooklyn South,BKS10,12,2015,June,81.11220183,62.28166393,66.61375885,997.8849294
Brooklyn South,BKS10,3,2015,September,81.17572237,56.8053061,72.69521353,"1,042.54"
Brooklyn South,BKS10,1,2015,July,76.82257701,55.8511213,57.73485689,751.0266514
Brooklyn South,BKS10,2,2015,August,81.85966868,56.42855877,57.62045171,"1,016.62"
Brooklyn South,BKS10,8,2015,February,81.44750493,65.51058295,82.24139587,899.9430746
Brooklyn South,BKS10,10,2015,April,77.40579714,58.71608545,67.10738702,810.8059085
Brooklyn South,BKS10,4,2015,October,78.34420022,58.12466657,73.2109719,868.6667843
Brooklyn South,BKS10,5,2015,November,83.20298357,57.37762638,71.74063212,"1,179.64"
Brooklyn South,BKS10,6,2015,December,78.91867512,61.55337861,65.68314341,788.5374259
Brooklyn South,BKS10,8,2016,February,80.01524942,60.98833486,82.63241218,807.6214419
Brooklyn South,BKS10,11,2016,May,81.5937654,55.63331588,73.9631902,996.0175232
Brooklyn South,BKS10,3,2016,September,77.84825962,57.65507639,79.79703781,818.4340645
Brooklyn South,BKS10,10,2016,April,81.85167523,57.25943478,76.15359603,"1,022.00"
Brooklyn South,BKS10,2,2016,August,82.31799738,56.96450966,64.21165233,"1,033.52"
Brooklyn South,BKS10,7,2016,January,83.46197823,45.89415731,65.14815738,"1,070.56"
Brooklyn South,BKS10,9,2016,March,78.68508278,51.70874363,73.63676985,766.0562102
Brooklyn South,BKS10,1,2016,July,77.61829593,57.20961818,63.00708248,769.5373045
Brooklyn South,BKS10,12,2016,June,77.66790834,57.04694075,71.95443252,786.9347661
Brooklyn South,BKS10,4,2016,October,81.88408513,55.29745157,79.15462444,"1,048.74"
Brooklyn South,BKS10,5,2016,November,82.98991245,54.24062574,74.20644157,"1,111.65"
Brooklyn South,BKS10,6,2016,December,79.53396473,60.5087233,72.45684467,784.6876868
Brooklyn South,BKS10,11,2017,May,77.01074412,54.26085684,74.10349933,772.0627525
Brooklyn South,BKS10,12,2017,June,80.78421449,56.54598245,73.44465585,969.1167393
Brooklyn South,BKS10,8,2017,February,80.3678913,51.45952618,77.78163817,860.6485067
Brooklyn South,BKS10,1,2017,July,81.4512129,56.41112304,69.69921974,965.3487348
Brooklyn South,BKS10,2,2017,August,78.87826941,55.75518871,70.0657905,819.0190438
Brooklyn South,BKS10,3,2017,September,81.80896295,58.07644368,87.57289924,"1,051.36"
Brooklyn South,BKS10,7,2017,January,82.86500081,56.50319728,78.2443934,978.6236532
Brooklyn South,BKS10,10,2017,April,81.21107411,57.07377452,80.2666141,985.0025625
Brooklyn South,BKS10,9,2017,March,79.57875087,53.44807384,77.36697764,816.5115532
Brooklyn South,BKS10,4,2017,October,82.1759849,56.19946548,90.54222954,"1,055.74"
Brooklyn South,BKS10,6,2017,December,83.02987432,60.84412879,74.96674507,998.1127568
Brooklyn South,BKS10,5,2017,November,79.71772917,58.20349512,86.3523894,880.9179204
Brooklyn South,BKS10,3,2018,September,81.21510129,55.59314119,86.31331317,"1,015.14"
Brooklyn South,BKS10,11,2018,May,77.32211425,52.50241842,76.94067835,792.6843825
Brooklyn South,BKS10,1,2018,July,80.7261335,55.01482885,70.44124366,918.6780145
Brooklyn South,BKS10,2,2018,August,78.31821534,54.72728783,68.91288545,795.7195464
Brooklyn South,BKS10,7,2018,January,80.22960383,54.11574443,84.77147293,834.9824183
Brooklyn South,BKS10,12,2018,June,81.58699228,57.57580578,77.35270014,"1,016.74"
Brooklyn South,BKS10,9,2018,March,82.77565344,52.4176249,79.04401809,"1,013.33"
Brooklyn South,BKS10,10,2018,April,81.65407058,56.26730975,80.80318312,"1,028.16"
Brooklyn South,BKS10,8,2018,February,79.84703745,54.18456909,80.2071734,831.4161725
Brooklyn South,BKS10,4,2018,October,82.34951478,54.2776946,86.75841625,"1,094.81"
Brooklyn South,BKS10,6,2018,December,83.54244254,59.13982184,78.58214166,"1,038.87"
Brooklyn South,BKS10,5,2018,November,79.74716322,56.92109225,87.62989662,896.7222835
Brooklyn South,BKS10,3,2019,September,80.60608296,53.76621007,85.6720395,969.684139
Brooklyn South,BKS10,2,2019,August,78.05842599,53.01412509,70.44021118,800.2653573
Brooklyn South,BKS10,1,2019,July,81.43157262,55.20510464,72.44825164,974.7838332
Brooklyn South,BKS10,4,2019,October,77.81576721,51.28644127,86.58626332,811.424276
Brooklyn South,BKS10,5,2019,November,82.07588795,53.92919576,83.69526867,"1,044.28"
Brooklyn South,BKS10,6,2019,December,82.96967295,55.90230077,72.6258536,"1,003.00"
Brooklyn South,BKS11,10,2005,April,76.29960219,60.40707451,60.45249201,787.1673487
Brooklyn South,BKS11,12,2005,June,72.2882718,58.82580764,61.53645366,639.3136766
Brooklyn South,BKS11,7,2005,January,78.66706037,50.91066381,51.77038577,843.3433725
Brooklyn South,BKS11,9,2005,March,74.11566492,62.86766656,57.88293896,626.6949493
Brooklyn South,BKS11,11,2005,May,76.99723731,60.85510401,59.69187206,818.4934607
Brooklyn South,BKS11,12,2006,June,76.63102824,62.08735638,60.96003155,797.7497042
Brooklyn South,BKS11,2,2006,August,73.50794079,55.65668381,59.07640563,650.354514
Brooklyn South,BKS11,1,2006,July,76.52086944,56.418657,58.3758618,763.3007555
Brooklyn South,BKS11,11,2006,May,72.52493766,58.05034443,58.31044904,651.4356691
Brooklyn South,BKS11,3,2006,September,76.537576,57.12074037,71.89738477,812.6829205
Brooklyn South,BKS11,10,2006,April,76.93011785,58.69445656,61.75132382,817.2605024
Brooklyn South,BKS11,8,2006,February,76.19214119,57.30721297,56.51008863,713.3599148
Brooklyn South,BKS11,7,2006,January,78.7255115,61.59633378,60.63957725,804.7667048
Brooklyn South,BKS11,9,2006,March,74.5575603,54.84098681,60.15358544,653.9179423
Brooklyn South,BKS11,4,2006,October,76.45059338,61.12376214,68.40200651,804.0712305
Brooklyn South,BKS11,5,2006,November,73.73169165,62.49246026,67.37289602,679.9665317
Brooklyn South,BKS11,6,2006,December,79.12404419,62.53192649,53.08645356,836.9824337
Brooklyn South,BKS11,1,2007,July,76.76779226,57.2717548,56.69643507,774.4132774
Brooklyn South,BKS11,8,2007,February,76.67967164,58.57568616,58.99165524,727.3103826
Brooklyn South,BKS11,12,2007,June,77.37614273,64.42989264,60.90925194,827.1331795
Brooklyn South,BKS11,7,2007,January,75.85782086,62.44992215,59.56660667,681.5433457
Brooklyn South,BKS11,3,2007,September,76.22232756,58.42195808,66.16571667,802.1262178
Brooklyn South,BKS11,11,2007,May,72.59831465,59.20992549,56.84414109,653.4112722
Brooklyn South,BKS11,10,2007,April,77.73502688,64.60263253,59.80208627,845.4580126
Brooklyn South,BKS11,9,2007,March,78.88067472,57.30460974,55.78953954,833.5341784
Brooklyn South,BKS11,2,2007,August,74.21763926,58.32908773,58.77649778,670.4197035
Brooklyn South,BKS11,4,2007,October,77.29493427,59.80997191,66.35404462,848.5084158
Brooklyn South,BKS11,6,2007,December,79.27187532,62.30022907,54.02774268,843.7797311
Brooklyn South,BKS11,5,2007,November,73.82255974,62.77097763,61.77836136,679.5333893
Brooklyn South,BKS11,8,2008,February,76.4123026,60.62853043,58.84902533,712.4978542
Brooklyn South,BKS11,2,2008,August,74.03020489,58.77498343,56.25894432,665.9900806
Brooklyn South,BKS11,12,2008,June,77.71979877,59.46180907,56.66294612,859.9951611
Brooklyn South,BKS11,7,2008,January,75.51361521,61.61337637,62.33797734,667.3323729
Brooklyn South,BKS11,11,2008,May,77.72680579,57.9757744,53.0903674,868.2948135
Brooklyn South,BKS11,9,2008,March,78.87770911,56.46783523,58.04026208,832.3134493
Brooklyn South,BKS11,3,2008,September,76.84573624,57.52923625,64.41538977,834.3938076
Brooklyn South,BKS11,10,2008,April,73.34626248,60.27494227,55.3984205,678.3613502
Brooklyn South,BKS11,1,2008,July,77.26112506,59.82991444,59.63768411,787.0893151
Brooklyn South,BKS11,4,2008,October,73.22402554,59.92986034,62.7541811,684.753288
Brooklyn South,BKS11,6,2008,December,79.19205025,61.2009178,51.45502377,845.9214898
Brooklyn South,BKS11,5,2008,November,78.14218553,60.57625277,61.81688807,880.3860357
Brooklyn South,BKS11,2,2009,August,78.83073346,57.31935757,50.5056623,881.7835152
Brooklyn South,BKS11,12,2009,June,77.24807487,57.66709186,52.88097318,845.7093062
Brooklyn South,BKS11,1,2009,July,73.49043806,56.72551855,52.38415487,655.3676004
Brooklyn South,BKS11,11,2009,May,77.26526161,53.31306167,51.25725255,857.8098341
Brooklyn South,BKS11,9,2009,March,79.4866965,52.01818822,51.77462784,883.442926
Brooklyn South,BKS11,7,2009,January,80.31076582,58.90496802,58.19079501,898.8367848
Brooklyn South,BKS11,3,2009,September,76.99366652,57.27868109,62.96861036,843.579929
Brooklyn South,BKS11,8,2009,February,77.17894225,53.24931069,54.05916783,765.5898605
Brooklyn South,BKS11,10,2009,April,73.4257846,56.72672877,54.67980256,687.9632216
Brooklyn South,BKS11,4,2009,October,73.82270184,56.52321843,61.25972565,713.907356
Brooklyn South,BKS11,5,2009,November,78.6086617,55.77645826,57.46415214,936.8372092
Brooklyn South,BKS11,6,2009,December,75.4772861,63.15321491,54.97196227,676.3473698
Brooklyn South,BKS11,2,2010,August,78.04063388,53.44846282,52.39734714,847.1455492
Brooklyn South,BKS11,1,2010,July,73.04099354,54.79099097,48.81525764,647.5035559
Brooklyn South,BKS11,12,2010,June,73.67873235,53.02610808,52.79113529,705.3996105
Brooklyn South,BKS11,9,2010,March,72.74100535,51.25424643,55.05391769,606.5108083
Brooklyn South,BKS11,8,2010,February,78.87543813,53.92319594,58.35573244,837.8137314
Brooklyn South,BKS11,7,2010,January,79.82558555,58.92253439,61.85773109,865.6779547
Brooklyn South,BKS11,11,2010,May,77.45754682,53.91452412,52.91748988,863.8313513
Brooklyn South,BKS11,10,2010,April,77.31536732,53.96431691,54.01148285,855.3199563
Brooklyn South,BKS11,3,2010,September,72.68848414,53.08565064,62.7062614,678.4603533
Brooklyn South,BKS11,4,2010,October,77.62793369,54.20118245,62.96438521,881.6825486
Brooklyn South,BKS11,6,2010,December,75.55192214,58.36227498,55.96693378,687.3795334
Brooklyn South,BKS11,5,2010,November,78.50010657,52.42266218,58.04865087,938.1589705
Brooklyn South,BKS11,3,2011,September,72.91014224,53.08361114,60.9830358,687.68363
Brooklyn South,BKS11,1,2011,July,78.09445379,52.13179929,50.33236173,855.5679756
Brooklyn South,BKS11,8,2011,February,75.02129597,51.8531547,54.23509833,682.3787116
Brooklyn South,BKS11,10,2011,April,77.67657873,58.23904718,51.46490013,867.3615492
Brooklyn South,BKS11,12,2011,June,73.7761907,53.54157268,49.93730672,711.1079386
Brooklyn South,BKS11,7,2011,January,78.45079824,49.01937794,55.22909625,832.3798031
Brooklyn South,BKS11,9,2011,March,74.88564954,54.40973467,53.03049323,673.9253581
Brooklyn South,BKS11,2,2011,August,78.44824709,52.14283553,48.83235367,875.7007673
Brooklyn South,BKS11,11,2011,May,77.5038143,54.61453016,51.10376568,867.0028388
Brooklyn South,BKS11,4,2011,October,77.83372832,53.12493328,61.50142937,896.469675
Brooklyn South,BKS11,6,2011,December,80.07218958,56.67958122,53.4725208,901.7024025
Brooklyn South,BKS11,5,2011,November,78.70020403,51.59217824,57.4601378,952.1496858
Brooklyn South,BKS11,2,2012,August,73.79202682,52.18727276,45.67926038,680.8349023
Brooklyn South,BKS11,8,2012,February,73.34279419,49.10605286,51.83257605,632.3190223
Brooklyn South,BKS11,1,2012,July,78.71303897,51.82843927,47.64942616,892.026655
Brooklyn South,BKS11,12,2012,June,78.16494884,55.80540774,49.51981662,900.3841392
Brooklyn South,BKS11,10,2012,April,78.31143704,54.66906923,49.88608174,910.2065079
Brooklyn South,BKS11,11,2012,May,73.89475253,53.01988645,47.52782715,718.9919585
Brooklyn South,BKS11,3,2012,September,76.93111323,53.25700403,56.16557106,857.185361
Brooklyn South,BKS11,9,2012,March,79.283848,48.09818481,48.70658531,886.375472
Brooklyn South,BKS11,7,2012,January,80.1653218,53.41474961,59.0235435,903.6188027
Brooklyn South,BKS11,4,2012,October,78.21876859,51.67526583,57.02665321,925.7427949
Brooklyn South,BKS11,6,2012,December,79.87061691,54.66755655,48.72795916,902.3560433
Brooklyn South,BKS11,5,2012,November,74.88450649,54.50579665,55.39777652,764.7177152
Brooklyn South,BKS11,12,2013,June,77.65632252,54.61636789,52.86954721,872.3032989
Brooklyn South,BKS11,8,2013,February,76.50000815,51.84907414,49.64516013,745.06074
Brooklyn South,BKS11,3,2013,September,77.35447846,51.5828316,57.33860238,880.4165625
Brooklyn South,BKS11,9,2013,March,79.24034864,49.53747328,52.40538438,875.3994514
Brooklyn South,BKS11,7,2013,January,75.98673006,56.05576124,53.72745465,708.3201092
Brooklyn South,BKS11,10,2013,April,78.00803617,53.47233249,51.74882097,894.2944519
Brooklyn South,BKS11,1,2013,July,78.27080845,50.79465059,46.31563349,873.1163335
Brooklyn South,BKS11,2,2013,August,74.62332465,51.14337306,46.18747829,712.3128447
Brooklyn South,BKS11,11,2013,May,73.66994741,51.37004702,50.58594827,710.2973238
Brooklyn South,BKS11,4,2013,October,72.50371349,39.49489197,46.34116176,710.5210593
Brooklyn South,BKS11,6,2013,December,79.0031801,54.00282179,47.10202219,859.4997341
Brooklyn South,BKS11,5,2013,November,78.45537973,59.81204798,63.48864713,911.1913082
Brooklyn South,BKS11,10,2014,April,73.12129801,54.30346347,58.27352136,677.7241953
Brooklyn South,BKS11,11,2014,May,76.92397155,49.35392503,52.65564674,847.8041939
Brooklyn South,BKS11,1,2014,July,73.04331066,49.76236799,47.75982603,656.922168
Brooklyn South,BKS11,9,2014,March,78.88550845,45.50591598,54.34091548,863.7804606
Brooklyn South,BKS11,2,2014,August,78.4640465,51.02066961,46.97403092,881.675321
Brooklyn South,BKS11,7,2014,January,76.02706225,52.02912226,61.69402817,709.9042482
Brooklyn South,BKS11,12,2014,June,77.53437822,53.33577556,55.4042899,865.6241745
Brooklyn South,BKS11,8,2014,February,77.24837596,49.48063299,60.64679009,768.6126934
Brooklyn South,BKS11,3,2014,September,77.17340188,50.20824428,56.51072473,875.4045256
Brooklyn South,BKS11,4,2014,October,74.1188065,49.22441104,59.719879,740.2465959
Brooklyn South,BKS11,6,2014,December,79.00676743,53.94002591,54.74195026,849.3692288
Brooklyn South,BKS11,5,2014,November,78.77569487,48.32428167,59.21941711,962.2156645
Brooklyn South,BKS11,7,2015,January,80.30531239,42.37461882,50.50502705,951.9667156
Brooklyn South,BKS11,9,2015,March,78.52369099,46.94851447,56.62799798,838.934455
Brooklyn South,BKS11,12,2015,June,76.68184445,52.18842517,56.22977113,826.114939
Brooklyn South,BKS11,2,2015,August,78.07129904,49.07376263,49.677001,861.8951089
Brooklyn South,BKS11,10,2015,April,73.03817449,50.41685913,58.47038605,681.1936389
Brooklyn South,BKS11,3,2015,September,76.93489371,47.2639414,60.67041319,865.4107948
Brooklyn South,BKS11,11,2015,May,76.87774012,45.77640304,53.59382155,851.7924275
Brooklyn South,BKS11,8,2015,February,77.46104947,56.46360218,70.02214101,751.0093498
Brooklyn South,BKS11,1,2015,July,72.9996457,49.35406676,49.81428904,653.9224509
Brooklyn South,BKS11,4,2015,October,73.64335811,49.91742292,63.10046155,717.7319683
Brooklyn South,BKS11,6,2015,December,74.74750372,53.36122183,57.39299482,666.2752544
Brooklyn South,BKS11,5,2015,November,78.2598806,48.30705073,59.81811068,932.5403135
Brooklyn South,BKS11,12,2016,June,72.4602924,49.6918819,61.77179738,659.506779
Brooklyn South,BKS11,2,2016,August,78.25455385,47.99860511,53.73253569,867.72176
Brooklyn South,BKS11,7,2016,January,79.28960248,38.0108479,53.78163951,900.069063
Brooklyn South,BKS11,8,2016,February,75.9508176,53.39247319,70.77392539,695.4290902
Brooklyn South,BKS11,10,2016,April,77.27607163,47.31429152,65.1187212,853.0846131
Brooklyn South,BKS11,1,2016,July,72.76582392,47.44717032,52.7293675,646.2005612
Brooklyn South,BKS11,3,2016,September,72.60186774,48.76049129,67.1372137,679.0541107
Brooklyn South,BKS11,9,2016,March,74.17621816,43.97154539,61.34416938,659.5772245
Brooklyn South,BKS11,11,2016,May,77.17901055,48.08173138,62.34987559,841.4492628
Brooklyn South,BKS11,4,2016,October,77.52201195,47.55914899,68.72125074,884.6475897
Brooklyn South,BKS11,5,2016,November,78.01182018,45.18894583,64.599996,920.5968988
Brooklyn South,BKS11,6,2016,December,74.77323403,51.60574009,61.67529663,665.8729848
Brooklyn South,BKS11,7,2017,January,78.53787333,47.46530881,65.61158096,800.4472178
Brooklyn South,BKS11,9,2017,March,74.53282949,42.44616702,62.27636032,658.9179345
Brooklyn South,BKS11,12,2017,June,76.36500302,47.48895909,61.12444645,803.9816335
Brooklyn South,BKS11,2,2017,August,73.70023978,45.1703278,56.99271328,676.8411315
Brooklyn South,BKS11,3,2017,September,77.13047719,47.17981634,71.41568866,847.1925022
Brooklyn South,BKS11,10,2017,April,76.62811401,47.25566259,65.85869741,809.6678222
Brooklyn South,BKS11,1,2017,July,76.96855538,47.54262959,57.50597525,801.7078605
Brooklyn South,BKS11,11,2017,May,72.01947804,45.04883844,62.58429968,637.9125459
Brooklyn South,BKS11,8,2017,February,75.8629501,41.31852529,63.09768767,712.2899699
Brooklyn South,BKS11,4,2017,October,77.42070564,45.1545946,72.29216613,864.0583527
Brooklyn South,BKS11,6,2017,December,78.82020895,49.05508106,62.85686447,815.0317708
Brooklyn South,BKS11,5,2017,November,74.15669703,46.95436976,72.65344667,708.7871949
Brooklyn South,BKS11,11,2018,May,72.18985327,44.64827825,61.91111492,642.1438545
Brooklyn South,BKS11,2,2018,August,74.46339997,45.94897092,58.05528183,670.6475595
Brooklyn South,BKS11,12,2018,June,76.89505315,48.10548618,62.65394765,816.6295618
Brooklyn South,BKS11,7,2018,January,75.87389734,45.53913333,69.47855172,686.8639498
Brooklyn South,BKS11,10,2018,April,77.30116938,46.75862796,65.8323192,835.9070365
Brooklyn South,BKS11,1,2018,July,77.23526003,48.42200802,58.73695213,773.2291554
Brooklyn South,BKS11,9,2018,March,78.45469113,43.7713326,63.88319,813.2256272
Brooklyn South,BKS11,8,2018,February,75.38718814,44.64657494,65.62509094,678.0684702
Brooklyn South,BKS11,3,2018,September,77.11282944,45.79972048,71.55350941,829.8890734
Brooklyn South,BKS11,4,2018,October,77.92885176,44.69307052,72.79918671,868.5170434
Brooklyn South,BKS11,5,2018,November,74.18147277,46.67815363,73.20858647,701.260397
Brooklyn South,BKS11,6,2018,December,79.33333831,47.71444876,64.14204131,842.8950899
Brooklyn South,BKS11,2,2019,August,73.33514532,44.74034196,56.68273357,648.8592828
Brooklyn South,BKS11,1,2019,July,76.98080919,45.664261,57.04515088,787.62851
Brooklyn South,BKS11,3,2019,September,76.23572003,45.97471742,71.15625134,806.6389883
Brooklyn South,BKS11,4,2019,October,72.95933066,44.31731047,73.44030848,678.116067
Brooklyn South,BKS11,6,2019,December,78.79911157,46.43809373,59.97147189,826.7889682
Brooklyn South,BKS11,5,2019,November,77.48425342,46.77625533,70.96080468,851.961744
Brooklyn South,BKS12,9,2005,March,71.25093446,61.2346436,46.19951316,647.649513
Brooklyn South,BKS12,7,2005,January,73.5568963,48.8028165,39.94444933,754.4584441
Brooklyn South,BKS12,11,2005,May,72.59090119,52.55929904,46.82569165,697.7191053
